Username,Rapid Rating,Blitz Rating,Puzzle Rating
ad1891,1566,1319,586
adabbhandari,905,735,1006
adabbledo,1152,1371,1963
adam-lee,736,841,1426
adam065719,718,330,968
adam19700000,749,415,412
adam1980me,1438,1225,824
adam464,1003,814,1653
adam7787,885,639,1622
adamadra,948,671,1653
adamb128,865,732,796
adambanana,710,852,1430
adambeater101,965,1042,526
adambspencer,1531,1170,2506
adamcampbell1,1039,891,820
adamcaspary,739,596,451
adamchowdhury,1341,1336,1886
adamcopland,774,482,1038
adamcrowe89,1049,604,494
adamcurrey,1521,1120,1969
adamde1,754,572,1058
adamdibbo,1004,707,997
adamdray256,685,926,723
adamelaina,1166,785,1465
adamelon,1157,824,1733
adamfrog,750,573,561
adamgarner2,901,490,390
adamglu,965,661,1003
adamgoddard69,433,528,700
adamgryl,318,160,786
adamgrzeslak,1598,1634,2060
adamguest1,837,302,460
adaminga,1170,602,1521
adamj015,318,321,436
adamjordan6,743,359,489
adamjslp,836,1202,1075
adamkara11,664,769,512
adamkell,1101,867,1049
adammarland,1484,1488,1728
adammelbourne,1200,670,1761
adamriley121,573,520,913
adams1945,1018,861,1989
adamslim01,1429,1322,2191
adamstrass,937,612,1151
adamsyno,455,102,419
adamtbot,527,335,1026
adamtea,1326,718,1005
adamtequila11,1046,742,1544
adamv1999,986,481,550
adamvanbockel98,502,399,423
adamworkman82,800,530,845
adam_a_csiko,472,928,436
adam_marks13,679,732,788
adam_richter,538,509,1004
adam_sg,774,928,613
adaniloff,1379,1352,519
adasssik,991,854,593
adave0630,274,341,537
adavi413,716,587,682
adayumdavis,1114,871,1629
adbrom81,999,1025,1140
adcbp,1466,1334,1495
addeli-rogers,649,456,422
addiijames,995,653,1386
addisonm1602,518,218,438
addsomenumberstoit,1205,683,1313
addsorama,1194,1205,517
addyd123,237,261,400
addzy6,1222,932,427
addzzoo,377,680,785
adeebnissan,894,1149,1009
adeeet,790,647,1359
adeeks,835,722,1037
adeeltejani,1119,890,1245
adeforceone,1013,725,1237
adegosom,1464,1217,1632
adegzy,1234,733,1824
adel1010,1097,1233,658
adel192,1067,942,1256
adem0417,200,321,388
ademeratan,1475,1091,1478
ademmumcu,1221,872,1057
ademorton92,845,1115,1048
adem_chrome,1174,1135,1785
aden2001,1731,1741,2420
adenadenadenadenaden,1138,923,987
adenimhof,643,914,840
